title,vote_count,vote_average
Last Summer in the Hamptons,0.0,0.0
Angels and Insects,17.0,6.3
White Squall,86.0,6.3
Dunston Checks In,59.0,5.1
Black Sheep,124.0,6.0
Nick of Time,190.0,6.1
The Journey of August King,3.0,6.7
Mary Reilly,77.0,5.7
Vampire in Brooklyn,113.0,4.5
Beautiful Girls,103.0,6.6
Broken Arrow,459.0,5.7
A Midwinter's Tale,6.0,7.5
La Haine,695.0,7.9
Shopping,13.0,5.6
Heidi Fleiss: Hollywood Madam,4.0,6.8
City Hall,67.0,6.0
Bottle Rocket,285.0,6.8
Mr. Wrong,16.0,3.3
Unforgettable,22.0,5.3
Happy Gilmore,767.0,6.5
The Bridges of Madison County,397.0,7.3
Nobody Loves Me,5.0,5.1
Muppet Treasure Island,93.0,6.5
Catwalk,2.0,7.0
Headless Body in Topless Bar,0.0,0.0
Braveheart,3404.0,7.7
Taxi Driver,2632.0,8.1
Rumble in the Bronx,245.0,6.5
Before and After,37.0,5.8
Margaret's Museum,2.0,7.5
Happiness Is in the Field,23.0,7.0
Anne Frank Remembered,4.0,7.3
The Young Poisoner's Handbook,19.0,6.9
If Lucy Fell,11.0,5.4
Steal Big Steal Little,7.0,5.1
Race the Sun,21.0,5.2
The Boys of St. Vincent,7.0,7.0
Boomerang,139.0,5.4
Chungking Express,249.0,7.9
The Star Maker,29.0,6.8
Flirting with Disaster,66.0,6.3
The Neverending Story III: Escape from Fantasia,105.0,4.4
The Silences of the Palace,3.0,4.3
Jupiter's Wife,0.0,0.0
Pie in the Sky,2.0,7.0
Angela,9.0,5.6
Frankie Starlight,4.0,5.4
Jade,45.0,5.1
Nueba Yol,1.0,5.5
Sonic Outlaws,0.0,0.0
Down Periscope,110.0,5.6
From the Journals of Jean Seberg,2.0,6.5
Man of the Year,2.0,3.8
The Neon Bible,5.0,7.2
Target,0.0,0.0
Up Close & Personal,51.0,5.9
The Birdcage,303.0,6.7
Virgin Mary,2.0,7.0
The Brothers McMullen,23.0,6.3
Bad Boys,1729.0,6.5
The Amazing Panda Adventure,31.0,5.0
The Basketball Diaries,472.0,7.2
An Awfully Big Adventure,11.0,6.0
Amateur,21.0,6.5
Apollo 13,1637.0,7.3
Rob Roy,151.0,6.5
The Addiction,46.0,6.4
Batman Forever,1529.0,5.2
Belle de Jour,163.0,7.3
Beyond Rangoon,21.0,6.4
Blue in the Face,28.0,6.8
Canadian Bacon,57.0,5.9
Casper,1045.0,6.0
Clockers,69.0,6.8
Congo,214.0,5.0
Crimson Tide,508.0,7.0
Crumb,71.0,7.6
Desperado,898.0,6.8
Devil in a Blue Dress,88.0,6.3
Die Hard: With a Vengeance,2094.0,6.9
The Doom Generation,57.0,5.6
Feast of July,0.0,0.0
First Knight,319.0,5.9
Free Willy 2 - The Adventure Home,130.0,5.5
Hackers,406.0,6.2
Jeffrey,19.0,6.5
Johnny Mnemonic,380.0,5.5
Judge Dredd,643.0,5.4
Jury Duty,34.0,4.0
Kids,280.0,6.8
Living in Oblivion,64.0,7.2
Lord of Illusions,87.0,5.9
Love & Human Remains,7.0,7.0
Mad Love,27.0,5.5
Mallrats,400.0,6.8
Mighty Morphin Power Rangers: The Movie,153.0,5.2
Moonlight and Valentino,10.0,5.6
Mute Witness,36.0,6.4
Nadja,12.0,5.9
The Net,359.0,5.6
Nine Months,171.0,5.5
Party Girl,14.0,5.8
The Prophecy,139.0,6.4
Reckless,1.0,10.0
Safe,62.0,7.2
The Scarlet Letter,111.0,5.5
The Show,2.0,5.3
Showgirls,261.0,4.9
Smoke,115.0,7.2
Something to Talk About,60.0,5.7
Species,457.0,5.5
The Stars Fell on Henrietta,6.0,6.6
Strange Days,334.0,6.8
The Umbrellas of Cherbourg,119.0,7.6
The Tie That Binds,9.0,4.6
Three Wishes,18.0,6.1
Total Eclipse,112.0,6.5
"To Wong Foo, Thanks for Everything! Julie Newmar",117.0,6.3
Under Siege 2: Dark Territory,217.0,5.6
Unstrung Heroes,9.0,6.4
Unzipped,6.0,6.0
A Walk in the Clouds,168.0,6.5
Waterworld,1017.0,5.9
White Man's Burden,25.0,5.1
Wild Bill,27.0,5.9
The Browning Version,11.0,6.0
Bushwhacked,29.0,4.9
Burnt by the Sun,35.0,6.7
Before the Rain,45.0,7.7
Before Sunrise,984.0,7.7
Billy Madison,464.0,6.2
The Babysitter,27.0,4.7
Boys on the Side,48.0,6.3
The Cure,58.0,7.2
Castle Freak,40.0,5.8
Circle of Friends,30.0,6.5
Clerks,769.0,7.4
Don Juan DeMarco,184.0,6.3
Disclosure,217.0,5.9
Dream Man,1.0,2.5
Drop Zone,91.0,5.1
Destiny Turns on the Radio,9.0,5.3
Death and the Maiden,92.0,7.1
Dolores Claiborne,183.0,7.1
Dumb and Dumber,1894.0,6.5
Eat Drink Man Woman,76.0,7.5
Exotica,64.0,6.5
Exit to Eden,28.0,4.3
Ed Wood,639.0,7.3
French Kiss,179.0,6.2
Forget Paris,38.0,6.1
Far from Home: The Adventures of Yellow Dog,27.0,5.6
A Goofy Movie,404.0,6.7
Hideaway,24.0,5.0
Fluke,48.0,6.6
Farinelli,20.0,5.9
Gordy,4.0,3.0
Gumby: The Movie,2.0,5.0
The Glass Shield,9.0,5.4
Hoop Dreams,91.0,7.7
Heavenly Creatures,299.0,6.9
Houseguest,17.0,6.0
Immortal Beloved,90.0,6.9
Heavyweights,97.0,6.0
The Hunted,25.0,6.0
I.Q.,112.0,5.9
Interview with the Vampire,1558.0,7.2
Jefferson in Paris,10.0,5.2
The Jerky Boys,10.0,4.8
Junior,381.0,4.7
Just Cause,124.0,6.0
A Kid in King Arthur's Court,40.0,4.3
Kiss of Death,83.0,5.7
Star Wars,6778.0,8.1
Little Women,222.0,7.0
A Little Princess,207.0,7.4
Ladybird Ladybird,14.0,7.4
L'Enfer,22.0,6.6
Like Water for Chocolate,70.0,6.6
Legends of the Fall,636.0,7.2
Major Payne,164.0,6.1
Little Odessa,31.0,6.4
Mi Vida Loca,9.0,5.7
Love Affair,11.0,4.3
Losing Isaiah,28.0,6.4
The Madness of King George,67.0,6.7
Mary Shelley's Frankenstein,272.0,6.1
Man of the House,40.0,5.1
Mixed Nuts,37.0,5.2
Milk Money,49.0,5.6
Miracle on 34th Street,199.0,6.4
Miami Rhapsody,7.0,5.6
My Family,11.0,7.0
Murder in the First,140.0,6.9
Nobody's Fool,56.0,7.0
Nell,128.0,6.1
New Jersey Drive,7.0,6.9
New York Cop,0.0,0.0
Beyond Bedlam,4.0,4.0
Nemesis 2 - Nebula,10.0,4.6
Nina Takes a Lover,4.0,7.4
Natural Born Killers,927.0,6.9
Only You,92.0,6.4
Once Were Warriors,106.0,7.6
Poison Ivy II: Lily,32.0,4.6
Outbreak,522.0,6.4
Leon: The Professional,4293.0,8.2
The Perez Family,9.0,6.6
A Pyromaniac's Love Story,2.0,7.0
Pulp Fiction,8670.0,8.3
Panther,6.0,6.4
Pushing Hands,9.0,6.1
Priest,32.0,6.4
Quiz Show,262.0,7.1
Picture Bride,5.0,7.4
Queen Margot,67.0,7.0
The Quick and the Dead,431.0,6.2
Roommates,7.0,6.4
Prêt-à-Porter,33.0,5.3
Three Colors: Red,246.0,7.8
Three Colors: Blue,311.0,7.7
Three Colors: White,218.0,7.3
"Red Firecracker, Green Firecracker",2.0,7.0
Rent-a-Kid,15.0,5.1
Relative Fear,3.0,4.7
Stuart Saves His Family,6.0,5.0
The Swan Princess,251.0,6.5
The Secret of Roan Inish,15.0,6.1
The Specialist,317.0,5.5
Stargate,942.0,6.8
The Santa Clause,501.0,6.3
The Shawshank Redemption,8358.0,8.5
Shallow Grave,247.0,7.0
Suture,7.0,6.0
Strawberry and Chocolate,16.0,7.1
Swimming with Sharks,104.0,6.7
The Sum of Us,21.0,6.0
Senior Trip,23.0,5.7
To Live,62.0,7.7
Tank Girl,140.0,5.5
Tales from the Crypt: Demon Knight,96.0,6.7
Star Trek: Generations,461.0,6.4
Tales from the Hood,33.0,5.4
Tom & Viv,8.0,5.8
Village of the Damned,165.0,5.6
Tommy Boy,321.0,6.8
Vanya on 42nd Street,15.0,6.1
The Underneath,15.0,5.6
The Walking Dead,4.0,6.6
What's Eating Gilbert Grape,943.0,7.5
Virtuosity,163.0,5.4
While You Were Sleeping,340.0,6.5
The War,39.0,6.3
Double Happiness,2.0,5.5
Muriel's Wedding,104.0,6.9
The Baby-Sitters Club,23.0,5.3
Ace Ventura: Pet Detective,1684.0,6.4
"The Adventures of Priscilla, Queen of the Desert",174.0,7.2
Backbeat,37.0,6.2
Bitter Moon,115.0,7.0
Bullets Over Broadway,130.0,7.0
Clear and Present Danger,390.0,6.4
The Client,287.0,6.4
"Corrina, Corrina",83.0,6.4
Crooklyn,31.0,6.7
The Crow,980.0,7.3
Cobb,29.0,6.1
The Flintstones,559.0,5.0
Forrest Gump,8147.0,8.2
Four Weddings and a Funeral,654.0,6.6
Higher Learning,49.0,6.4
I Like It Like That,4.0,6.3
I Love Trouble,41.0,5.3
It Could Happen to You,154.0,6.1
The Jungle Book,107.0,5.9
"The Wonderful, Horrible Life of Leni Riefenstahl",5.0,7.3
The Lion King,5520.0,8.0
Little Buddha,76.0,6.0
New Nightmare,297.0,6.4
The Mask,2550.0,6.6
Maverick,490.0,6.6
Mrs. Parker and the Vicious Circle,20.0,6.3
The Naked Gun 33⅓: The Final Insult,535.0,6.4
The Paper,40.0,6.1
Reality Bites,180.0,6.5
Red Rock West,71.0,6.4
Ri¢hie Ri¢h,426.0,5.4
Safe Passage,7.0,4.9
The River Wild,214.0,6.1
Speed,1814.0,6.8
Speechless,24.0,5.5
Timecop,288.0,5.5
True Lies,1138.0,6.8
When a Man Loves a Woman,71.0,6.0
Wolf,221.0,6.0
Wyatt Earp,203.0,6.5
Bad Company,12.0,4.9
A Man of No Importance,2.0,6.5
S.F.W.,22.0,6.1
A Low Down Dirty Shame,31.0,6.0
"Boys Life: Three Stories of Love, Lust, and Liberation",1.0,2.0
Colonel Chabert,9.0,5.9
"Faster, Pussycat! Kill! Kill!",59.0,6.5
Jason's Lyric,9.0,5.9
The Secret Adventures of Tom Thumb,8.0,7.1
Street Fighter,330.0,4.1
Coldblooded,13.0,6.7
Desert Winds,0.0,0.0
Fall Time,6.0,6.3
The Fear,7.0,3.4
Frank and Ollie,4.0,7.5
Girl in the Cadillac,1.0,10.0
Homage,0.0,0.0
Mirage,1.0,4.0
Open Season,0.0,0.0
Dos Crímenes,1.0,5.0
Brother Minister: The Assassination of Malcolm X,1.0,4.0
Highlander: The Final Dimension,110.0,4.5
Federal Hill,2.0,5.0
In the Mouth of Madness,307.0,7.1
8 Seconds,22.0,7.2
Above the Rim,40.0,6.7
Addams Family Values,537.0,6.5
Martin Lawrence: You So Crazy,4.0,4.5
The Age of Innocence,172.0,7.0
Airheads,222.0,5.8
The Air Up There,42.0,5.1
Another Stakeout,58.0,4.9
Bad Girls,61.0,4.6
Barcelona,20.0,6.6
Being Human,15.0,5.0
The Beverly Hillbillies,86.0,5.0
Beverly Hills Cop III,445.0,5.5
Black Beauty,68.0,6.6
Blink,45.0,6.3
Blown Away,126.0,6.0
Blue Chips,41.0,5.7
Blue Sky,28.0,6.1
Body Snatchers,102.0,5.8
Boxing Helena,59.0,4.5
A Bronx Tale,447.0,7.4
Cabin Boy,28.0,4.9
Calendar Girl,10.0,3.7
Carlito's Way,805.0,7.7
City Slickers II: The Legend of Curly's Gold,103.0,4.9
Clean Slate,25.0,5.7
Cliffhanger,600.0,6.1
Coneheads,228.0,4.8
Color of Night,117.0,5.4
Cops & Robbersons,36.0,5.0
The Cowboy Way,38.0,5.1
Dangerous Game,9.0,5.4
Dave,205.0,6.3
Dazed and Confused,588.0,7.4
Demolition Man,1018.0,6.4
The Endless Summer 2,12.0,7.1
Even Cowgirls Get the Blues,29.0,4.2
Fatal Instinct,37.0,5.4
Farewell My Concubine,98.0,7.8
The Favor,6.0,3.3
Fearless,80.0,6.8
Fear of a Black Hat,11.0,5.8
With Honors,54.0,6.1
Flesh and Bone,22.0,6.2
Widows' Peak,3.0,4.3
For Love or Money,77.0,5.7
The Firm,513.0,6.6
Free Willy,429.0,6.0
Fresh,56.0,7.6
The Fugitive,1240.0,7.2
Geronimo: An American Legend,44.0,5.9
The Getaway,81.0,5.4
Getting Even with Dad,43.0,4.5
Go Fish,5.0,3.9
A Good Man in Africa,11.0,5.2
Guilty as Sin,21.0,5.6
Hard Target,237.0,6.1
Heaven & Earth,51.0,6.4
Hot Shots! Part Deux,463.0,6.2
Live Nude Girls,12.0,4.7
The Englishman Who Went Up a Hill But Came Down a Mountain,83.0,6.1
The House of the Spirits,135.0,6.7
House Party 3,11.0,4.6
The Hudsucker Proxy,280.0,7.1
I'll Do Anything,18.0,5.7
In the Army Now,54.0,4.7
In the Line of Fire,392.0,6.8
In the Name of the Father,363.0,7.6
The Inkwell,5.0,3.9
What's Love Got to Do with It,75.0,6.9
Jimmy Hollywood,17.0,4.6
Judgment Night,79.0,6.4
Jurassic Park,4956.0,7.6
Kalifornia,209.0,6.5
Killing Zoe,111.0,6.1
King of the Hill,33.0,6.4
Lassie,54.0,6.1
Last Action Hero,725.0,6.1
Life With Mikey,24.0,5.1
Lightning Jack,40.0,5.7
M. Butterfly,35.0,6.6
Made in America,86.0,5.3
Malice,105.0,5.9
The Man without a Face,125.0,6.2
Manhattan Murder Mystery,169.0,7.1
Menace II Society,179.0,7.2
Executive Decision,261.0,5.8
In the Realm of the Senses,112.0,6.5
What Happened Was...,7.0,7.0
Much Ado About Nothing,194.0,7.2
Mr. Jones,35.0,5.9
Mr. Wonderful,11.0,5.5
Mrs. Doubtfire,1638.0,7.0
Naked,105.0,7.5
The Next Karate Kid,202.0,4.8
The New Age,5.0,4.8
No Escape,86.0,6.1
North,67.0,4.8
Orlando,53.0,6.7
A Perfect World,376.0,7.2
Philadelphia,1019.0,7.6
The Piano,290.0,7.1
Poetic Justice,47.0,6.9
The Program,28.0,6.0
The Puppet Masters,41.0,5.6
Radioland Murders,12.0,5.8
The Ref,99.0,6.7
The Remains of the Day,213.0,7.5
Renaissance Man,83.0,5.9
Rising Sun,188.0,5.8
The Road to Wellville,43.0,5.5
RoboCop 3,309.0,4.2
Robin Hood: Men in Tights,575.0,6.4
Romeo Is Bleeding,36.0,5.7
Romper Stomper,126.0,6.6
Ruby in Paradise,10.0,5.6
Rudy,187.0,7.2
The Saint of Fort Washington,5.0,4.0
Savage Nights,11.0,6.2
Schindler's List,4436.0,8.3
The Scout,37.0,5.3
Searching for Bobby Fischer,100.0,7.3
Second Best,8.0,5.9
The Secret Garden,232.0,7.1
Serial Mom,137.0,6.4
The Shadow,140.0,5.4
Shadowlands,61.0,6.8
Short Cuts,136.0,6.9
A Simple Twist of Fate,26.0,5.7
Sirens,31.0,5.2
Six Degrees of Separation,75.0,6.5
Sleepless in Seattle,630.0,6.5
Sliver,144.0,4.9
Blade Runner,3833.0,7.9
Son in Law,81.0,5.6
So I Married an Axe Murderer,131.0,6.1
Striking Distance,223.0,5.4
Harem,4.0,4.0
Super Mario Bros.,236.0,4.0
Surviving the Game,53.0,6.1
Terminal Velocity,82.0,5.0
Thirty Two Short Films About Glenn Gould,9.0,7.4
Threesome,57.0,6.3
The Nightmare Before Christmas,2135.0,7.6
The Three Musketeers,219.0,6.2
Tombstone,632.0,7.4
Trial by Jury,5.0,5.5
True Romance,762.0,7.5
The War Room,19.0,7.3
The Pagemaster,178.0,6.2
"Paris, France",2.0,6.0
"The Beans of Egypt, Maine",1.0,0.0
Killer,2.0,3.0
Welcome to the Dollhouse,103.0,6.9
Germinal,43.0,6.3
Chasers,22.0,4.7
Cronos,153.0,6.4
Naked in New York,3.0,4.0
Kika,58.0,6.8
Bhaji on the Beach,10.0,5.1
Little Big League,20.0,6.0
The Slingshot,10.0,6.2
Wide Eyed and Legless,0.0,0.0
Foreign Student,0.0,0.0
"Ciao, Professore!",74.0,7.2
Spanking the Monkey,29.0,5.3
The Little Rascals,214.0,6.3
À la mode,0.0,0.0
Andre,31.0,5.0
The Escort,5.0,5.0
Princess Caraboo,5.0,4.4
The Celluloid Closet,24.0,7.0
Café au Lait,4.0,6.8
Dear Diary,46.0,6.9
I Don't Want to Talk About It,1.0,6.0
The Brady Bunch Movie,87.0,5.9
Home Alone,2487.0,7.1
Ghost,1381.0,6.9
Aladdin,3495.0,7.4
Terminator 2: Judgment Day,4274.0,7.7
Dances with Wolves,1084.0,7.6
Tough and Deadly,4.0,6.3
Batman,2145.0,7.0
The Silence of the Lambs,4549.0,8.1
Snow White and the Seven Dwarfs,1973.0,6.9
Beauty and the Beast,3029.0,7.5
Pinocchio,1412.0,6.9
Pretty Woman,1807.0,7.0
Window to Paris,6.0,6.0
The Wild Bunch,266.0,7.7
Love and a .45,15.0,5.5
The Wooden Man's Bride,1.0,6.5
A Great Day in Harlem,2.0,7.0
Bye Bye Love,20.0,6.1
One Fine Day,160.0,6.1
Candyman: Farewell to the Flesh,64.0,5.0
Century,1.0,5.0
Fargo,2080.0,7.7
Homeward Bound II: Lost in San Francisco,105.0,6.0
Heavy Metal,150.0,6.3
Hellraiser: Bloodline,111.0,4.9
The Pallbearer,30.0,4.6
Jane Eyre,51.0,7.1
Loaded,3.0,4.0
Bread and Chocolate,10.0,7.1
The Aristocats,1287.0,7.1
The Flower of My Secret,43.0,6.9
Two Much,24.0,5.1
Ed,24.0,3.6
Scream of Stone,4.0,7.5
My Favorite Season,4.0,6.4
A Modern Affair,1.0,5.0
Condition Red,3.0,4.7
Halfaouine: Boy of the Terraces,5.0,7.4
A Thin Line Between Love and Hate,15.0,5.7
The Last Supper,82.0,6.5
Primal Fear,644.0,7.4
Rude,1.0,6.0
Carried Away,5.0,5.4
All Dogs Go to Heaven 2,50.0,5.0
Land and Freedom,53.0,7.0
Denise Calls Up,5.0,6.6
Theodore Rex,17.0,3.6
A Family Thing,14.0,5.6
Frisk,3.0,3.0
Sgt. Bilko,96.0,5.5
Jack & Sarah,10.0,5.1
Girl 6,17.0,5.7
Diabolique,74.0,5.4
"Little Indian, Big City",145.0,6.0
Roula,1.0,5.0
Peanuts – Die Bank zahlt alles,1.0,4.0
Happy Weekend,0.0,0.0
Nelly and Monsieur Arnaud,16.0,7.1
Courage Under Fire,240.0,6.2
Mission: Impossible,2677.0,6.7
Cold Fever,6.0,7.7
Moll Flanders,19.0,6.2
The Superwife,7.0,5.3
"301, 302",10.0,6.2
DragonHeart,553.0,6.4
Und keiner weint mir nach,0.0,0.0
My Mother's Courage,0.0,0.0
Eddie,46.0,5.4
Yankee Zulu,4.0,6.0
Billy's Holiday,0.0,0.0
Purple Noon,73.0,7.3
August,3.0,5.3
James and the Giant Peach,375.0,6.2
Fear,157.0,6.1
Kids in the Hall: Brain Candy,26.0,5.9
Faithful,4.0,4.8
Underground,143.0,7.5
All Things Fair,23.0,6.1
Bloodsport II,23.0,5.2
Pather Panchali,63.0,7.9
The World of Apu,40.0,8.2
Mystery Science Theater 3000: The Movie,71.0,7.0
Tarantella,0.0,0.0
Space Jam,1335.0,6.5
Barbarella,149.0,5.7
Hostile Intentions,1.0,8.0
They Bite,1.0,5.5
Some Folks Call It a Sling Blade,8.0,7.5
The Run of the Country,2.0,8.0
Alphaville,100.0,6.8
Coup de Torchon,21.0,6.8
Tigrero: A Film That Was Never Made,4.0,7.5
The Eye of Vichy,0.0,0.0
Windows,9.0,5.8
It's My Party,9.0,6.2
Country Life,1.0,8.0
Operation Dumbo Drop,37.0,4.7
The Promise,1.0,5.0
Mrs. Winterbourne,26.0,5.5
Solo,18.0,3.9
Under The Domim Tree,2.0,6.5
The Substitute,60.0,5.8
True Crime,7.0,5.1
Butterfly Kiss,5.0,7.4
Feeling Minnesota,29.0,5.5
Delta of Venus,5.0,3.3
To Cross the Rubicon,0.0,0.0
Angus,24.0,6.8
Priest Daens,15.0,6.7
Faces,36.0,7.1
Boys,11.0,5.3
The Quest,126.0,5.3
Cosi,9.0,7.1
Sunset Park,7.0,5.1
Mulholland Falls,73.0,6.2
The Truth About Cats & Dogs,86.0,5.7
Oliver & Company,372.0,6.5
Celtic Pride,35.0,4.9
Flipper,85.0,5.3
Captives,10.0,6.0
Of Love and Shadows,11.0,4.4
Dead Man,397.0,7.2
The Horseman on the Roof,25.0,6.7
Switchblade Sisters,27.0,6.6
Mouth to Mouth,5.0,5.5
The Visitors,433.0,7.1
Multiplicity,158.0,5.5
"The Haunted World of Edward D. Wood, Jr.",1.0,10.0
Two Friends,0.0,0.0
The Craft,388.0,6.3
The Great White Hype,29.0,5.1
Last Dance,9.0,5.6
Cold Comfort Farm,21.0,7.0
"Institute Benjamenta, or This Dream People Call Human Life",11.0,7.7
Heaven's Prisoners,17.0,5.0
Original Gangstas,5.0,5.5
The Rock,1474.0,6.9
Getting Away with Murder,6.0,5.5
Cemetery Man,105.0,7.0
Twister,966.0,6.1
Barb Wire,117.0,3.9
Le Garçu,1.0,5.0
Honeymoon,0.0,0.0
Ghost in the Shell,854.0,7.8
Thinner,125.0,5.5
Spy Hard,148.0,4.9
Brothers in Trouble,0.0,0.0
A Close Shave,223.0,7.5
Force of Evil,33.0,6.6
The Stupids,22.0,4.2
The Arrival,200.0,6.1
The Man from Down Under,0.0,0.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1472.0,8.0
Careful,4.0,7.8
A Month by the Lake,7.0,7.2
Gold Diggers: The Secret of Bear Mountain,20.0,5.8
Kim,5.0,7.0
Carmen Miranda: Bananas Is My Business,1.0,10.0
Ashes of Time,73.0,7.1
The Jar,3.0,8.0
Maya Lin: A Strong Clear Vision,0.0,0.0
Stalingrad,116.0,7.4
The Phantom,138.0,4.7
Striptease,210.0,4.4
The Last of the High Kings,15.0,5.7
Heavy,11.0,7.7
Jack,340.0,5.9
I Shot Andy Warhol,32.0,6.1
The Grass Harp,4.0,6.1
Someone Else's America,0.0,0.0
Life is Rosy,2.0,6.5
Quartier Mozart,1.0,5.0
Touki Bouki,10.0,7.3
God's Gift,1.0,5.0
Spirits of the Dead,24.0,5.5
Babyfever,0.0,0.0
Pharaoh's  Army,5.0,6.3
Trainspotting,2737.0,7.8
Til There Was You,4.0,3.9
Independence Day,3334.0,6.7
Stealing Beauty,99.0,6.6
The Fan,202.0,5.7
The Hunchback of Notre Dame,1182.0,6.8
The Cable Guy,603.0,5.7
Kingpin,248.0,6.7
Eraser,553.0,5.6
The Gate of Heavenly Peace,3.0,6.7
The Nutty Professor,717.0,5.4
"I, the Worst of All",3.0,6.8
An Unforgettable Summer,6.0,7.2
A Hungarian Fairy Tale,0.0,0.0
My Life and Times With Antonin Artaud,1.0,8.0
Midnight Dancers,1.0,7.0
Somebody to Love,2.0,5.1
A Very Natural Thing,3.0,6.3
The Old Lady Who Walked in the Sea,0.0,0.0
Daylight,385.0,5.8
The Frighteners,413.0,6.7
Lone Star,79.0,6.9
Harriet the Spy,47.0,5.7
Phenomenon,328.0,6.2
Walking and Talking,8.0,6.6
She's the One,71.0,5.7
A Time to Kill,522.0,7.0
American Buffalo,9.0,6.2
Rendezvous in Paris,4.0,6.5
Alaska,32.0,5.2
Fled,49.0,5.2
Kazaam,60.0,3.6
Magic Hunter,1.0,6.0
Larger Than Life,35.0,5.4
A Boy Called Hate,2.0,6.0
Power 98,1.0,4.0
Two Deaths,2.0,7.0
A Very Brady Sequel,42.0,5.8
Stefano Quantestorie,1.0,6.0
Death in the Garden,8.0,7.4
Hedd Wyn,2.0,6.5
La Collectionneuse,25.0,6.5
Kaspar Hauser,4.0,6.3
Regular Guys,9.0,5.2
Diebinnen,1.0,4.0
The Convent,6.0,6.5
The Adventures of Pinocchio,55.0,5.0
Joe's Apartment,87.0,5.0
The First Wives Club,172.0,6.5
Stonewall,10.0,7.2
Ransom,482.0,6.4
High School High,51.0,5.4
Phat Beach,8.0,5.4
Foxfire,30.0,6.3
Chain Reaction,291.0,5.3
Matilda,892.0,6.9
Emma,152.0,6.7
The Crow: City of Angels,119.0,5.2
House Arrest,32.0,5.0
Eyes Without a Face,130.0,7.5
Bordello of Blood,63.0,5.0
Lotto Land,1.0,7.0
The Story of Xinghua,0.0,0.0
The Day the Sun Turned Cold,2.0,7.0
Flirt,4.0,7.5
The Big Squeeze,1.0,5.0
The Spitfire Grill,17.0,6.8
Escape from L.A.,381.0,5.6
Cyclo,23.0,6.8
Basquiat,97.0,6.6
Tin Cup,152.0,5.9
Dingo,1.0,6.0
The Ballad of Narayama,12.0,6.4
Every Other Weekend,2.0,6.0
Mille bolle blu,1.0,6.0
Crows and Sparrows,1.0,5.0
The Godfather,6024.0,8.5
Maybe... Maybe Not,34.0,6.1
Police Story 3: Supercop,109.0,6.7
Manny & Lo,9.0,6.3
Wife,0.0,0.0
Small Faces,10.0,6.4
Bound,203.0,6.9
Carpool,17.0,4.9
Death in Brunswick,7.0,6.1
Kansas City,13.0,6.1
Gone Fishin',48.0,4.7
Lover's Knot,2.0,4.0
Vive L'Amour,16.0,7.3
Shadow of Angels,2.0,4.0
Killer: A Journal of Murder,10.0,6.3
